City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,erzin,36.9559,36.2,55.99,82,95,5.97,TR,1613436664
346,malanje,-9.5402,16.341,63.59,82,100,3.36,AO,1613436664
347,krasnoye,49.9145,24.6134,12.2,92,75,4.47,UA,1613436664
348,hamilton,39.1834,-84.5333,21.2,86,90,18.41,US,1613436236
349,bahia blanca,-38.7196,-62.2724,61.56,64,100,7.23,AR,1613436609
350,ostrovnoy,68.0531,39.5131,0.79,91,100,8.9,RU,1613436664
351,marawi,7.9986,124.2928,78.01,88,100,15.01,PH,1613436469
352,soe,-9.8607,124.284,75.96,75,5,6.58,ID,1613436665
353,surt,31.2089,16.5887,51.33,66,88,28.61,LY,1613436665
354,maputo,-25.9653,32.5892,71.6,88,75,26.46,MZ,1613436665
355,nguruka,-5.1092,31.0419,66.22,90,100,2.86,TZ,1613436665
356,uzventis,55.7803,22.6547,8.6,92,73,3.44,LT,1613436665
357,atar,20.5169,-13.0499,68.72,23,12,15.28,MR,1613436384
358,touros,-5.1989,-35.4608,82.4,74,40,12.66,BR,1613436665
359,bathsheba,13.2167,-59.5167,78.8,61,40,25.32,BB,1613436665
360,kununurra,-15.7667,128.7333,80.6,62,100,4.61,AU,1613436665
361,port blair,11.6667,92.75,77.86,79,47,7.31,IN,1613436666
362,taseyevo,57.2169,94.8978,3.94,94,100,5.44,RU,1613436666
